userId,intent_1,intent_2,intent_3,intent_4,intent_5,intent_6,intent_7,intent_8,intent_9,intent_10,intent_11,intent_12,intent_13,intent_14,intent_15
657d45b4-6354-4c93-a511-bb761a115a1f,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,adm_Apps_Smart_Switch,,,,,
790a5d2e-8a75-4e54-98b6-ad2c655bcfca,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_membership,ChatbotNavi_faq,FAQ_mobile_care,StartOver,EP_customer_support,SiteNavi_download,,,
418f83a2-9fa2-460e-9b37-d094a39de35c,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,EP_customer_support,,,,,,,,,,
fa249df9-a200-4268-93ae-2f0f13d55ded,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_exchange,FAQ_how_to_refund,FAQ_refund_method,FAQ_shipping_fee,,,,,,,
e38a9c35-3c15-42f5-a05d-54186d9e8107,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_galaxy_club,StartOver,fallback,fallback,,,,,,,
e25ecb6b-29a8-411d-8407-259accd2ed9f,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,ChatbotNavi_faq,StartOver,Recommend_product_null,Recommend_product,,,,,,
38d18a61-2d3d-45a6-8861-71f9258e267e,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,StartOver_Welcome,,,,,,,,,
a8256f44-e0f0-4983-a958-a09bd7c29438,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,,,,,,,,,,
e973a882-a0b5-4cb5-acce-d4e1d7927418,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,,,,,,,,,,,
102fdecd-f6be-45b3-a514-b51390bcb7b0,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_galaxy_club,ChatbotNavi_faq,,,,,,,,,,
09106b27-0f4a-4e13-b4b8-85431e41a2b3,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_login,,,,,,,,,,,
42dd51da-2cab-4ff6-ab14-945b157ecb34,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_payment_method,FAQ_point,,,,,,,,,,
2b3e0668-6c32-4a5f-bd16-fae9065465ac,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,adm_Apps_Smart_Switch,StartOver,ChatbotNavi_faq,Recommend_product_null,,,,,,,,
30ae247b-bafa-4d9a-be42-9a9a8b16f9c2,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,,,,,,,,,,,,
d985f7b7-b256-47f0-b2c7-3c80516e7b52,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,,,,,,,,,,,,
ea7a371d-8084-419d-9e48-06cc648f7d01,ChatbotNavi_faq,ChatbotNavi_faq,ChatbotNavi_faq,,,,,,,,,,,,
b271f716-92ec-4f3a-bc2f-6c5d6043ccf5,ChatbotNavi_faq,ChatbotNavi_faq,EP_start_epromoter,EP_start_epromoter,fallback,StartOver,Recommend_product_null,,,,,,,,
ef6e901b-4857-402c-8d5e-a867020d1e74,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_Unlockphone,EP_start_epromoter,EP_start_epromoter,,,,,,,,,,
5b5501ef-6c36-4547-beed-e10aa7a97bac,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_Unlockphone,FAQ_shoppingcart_delete,,,,,,,,,,,
9a99959b-94e1-4b41-ae33-0669ed4270e2,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_Unlockphone,fallback,SiteNavi_customer_service,,,,,,,,,,
2362b045-a203-44cb-937e-0806fba1a209,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_Unlockphone,,,,,,,,,,,,
5d1808f5-c187-4c24-943b-5200f5e8a7d4,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_Unlockphone,,,,,,,,,,,,
7e4dc88e-83c7-43e5-9711-1b26a7063073,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_Unlockphone,,,,,,,,,,,,
0b3d0a35-1edc-4336-9a44-b06d31163ad5,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_login,,,,,,,,,,,,
bf56f092-6d5a-4049-addd-ec7986e33861,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_membership_certified,FAQ_login,,,,,,,,,,,
db3b54f9-8dfc-4cc9-afe1-5250903f0962,ChatbotNavi_faq,ChatbotNavi_faq,FAQ_mobile_care,adm_Apps_Smart_Switch,,,,,,,,,,,
d65a545a-8700-46ad-b691-e3081c12856d,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,EP_customer_support,StartOver,adm_KF_S20,Search_product_null,,,,,,,,
a2770862-c671-4cce-818e-43500960010f,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,Recommend_product_null,StartOver,ChatbotNavi_faq,StartOver,Search_event_null,Search_event,EP_self_check,EP_customer_support,SiteNavi_download,EP_start_epromoter,EP_customer_support,EP_start_epromoter
1295d49d-b052-48f4-a11c-913107a57553,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,Recommend_product_null,,,,,,,,,,,
69c7c163-affc-4ac7-ab6e-55555e3dda75,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,Search_event_null,Search_event,,,,,,,,,,
620b16ce-36a2-4803-9db5-e94fdbca8eca,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,Search_product_null,Search_event_null,Search_event,Search_event_null,Search_event,Search_event_null,Search_event,EP_self_check,StartOver,,,
807b39b0-2027-4915-8ae2-e65252ecd80b,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,StartOver_Welcome,EP_customer_support,StartOver,,,,,,,,,
fbaf8aa1-9be8-4502-b9b8-6553cef05b07,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,adm_KF_S20,EP_start_epromoter,adm_obf_preorder_benefit_S20,StartOver_Welcome,StartOver,StartOver,StartOver,StartOver,,,,
3b37c68a-2611-4ba8-9a33-cf3e5b976493,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,adm_KF_S20,StartOver_Welcome,StartOver,,,,,,,,,
38891204-1c46-4e82-82ce-099d3c18b065,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,adm_KF_S20,,,,,,,,,,,
a2acc53e-c368-4717-9ba5-40a08acf098e,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,adm_KF_S20,,,,,,,,,,,
c9c06de1-4bdb-4c64-bcd2-11356d7379af,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,adm_KF_S20,,,,,,,,,,,
2f152822-66cd-474c-9017-8e0fafbdf4ce,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,,,,,,,,,,,,
2f6233e9-e689-4a53-a985-ce76df1fe1df,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,,,,,,,,,,,,
44341be5-afdf-435b-863f-dcf83d9f566f,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,,,,,,,,,,,,
779c714a-9067-4801-bec8-37cbf9c933eb,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,,,,,,,,,,,,
8d998013-d880-4987-868d-fe5958c3a6ab,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,,,,,,,,,,,,
e25debff-8e8e-4308-bc85-b738556fd1da,ChatbotNavi_faq,ChatbotNavi_faq,StartOver,,,,,,,,,,,,
